StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Comp DM_1,Comp DU_1,Comp DV_1,Comp DW_1,Comp MU_1,Comp MV_1,Comp MW_1,Comp UV_1,Comp UW_1,Comp VW_1,Comp CF_1,Comp CQ_1,Comp CS_1,Comp CT_1,Comp FQ_1,Comp FS_1,Comp FT_1,Comp QS_1,Comp QT_1,Comp ST_1,Comp FI_1,Comp FU_1,Comp FX_1,Comp Fa_1,Comp IU_1,Comp IX_1,Comp Ia_1,Comp UX_1,Comp Ua_1,Comp Xa_1,Comp EK_1,Comp EL_1,Comp EV_1,Comp EW_1,Comp KL_1,Comp KV_1,Comp KW_1,Comp LV_1,Comp LW_1,Comp VW_1,Comp BD_1,Comp BL_1,Comp BN_1,Comp BP_1,Comp DL_1,Comp DN_1,Comp DP_1,Comp LN_1,Comp LP_1,Comp NP_1,Comp GH_1,Comp GO_1,Comp GR_1,Comp GY_1,Comp HO_1,Comp HR_1,Comp HY_1,Comp OR_1,Comp OY_1,Comp RY_1,Comp GJ_1,Comp GK_1,Comp GR_1,Comp GZ_1,Comp JK_1,Comp JR_1,Comp JZ_1,Comp KR_1,Comp KZ_1,Comp RZ_1,Comp IQ_1,Comp IT_1,Comp IY_1,Comp Ia_1,Comp QT_1,Comp QY_1,Comp Qa_1,Comp TY_1,Comp Ta_1,Comp Ya_1,Comp AH_1,Comp AM_1,Comp AP_1,Comp AS_1,Comp HM_1,Comp HP_1,Comp HS_1,Comp MP_1,Comp MS_1,Comp PS_1,Comp CN_1,Comp CO_1,Comp CZ_1,Comp Cb_1,Comp NO_1,Comp NZ_1,Comp Nb_1,Comp OZ_1,Comp Ob_1,Comp Zb_1,Comp Ra_1,Comp Rb_1,Comp Rc_1,Comp Rd_1,Comp ab_1,Comp ac_1,Comp ad_1,Comp bc_1,Comp bd_1,Comp cd_1
2023-05-30 13:39:25,2023-05-30 13:43:50,0,194.151.97.50,90,265,0,2023-06-06 13:43:57,R_2OUVLKNcTo0rDkG,,,,,,,anonymous,NL,waterbeheer/ecologie,5,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02 10:00:02,2023-06-06 16:15:17,0,194.151.97.50,100,368115,1,2023-06-06 16:15:18,R_02n2eUlCywmihgd,,,,,52.4052,6.0654,anonymous,NL,Regioadviseur Watersystemen,4,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,3,2,3,2,1,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-31 09:31:52,2023-05-31 09:35:04,0,194.151.97.50,90,191,0,2023-06-07 09:35:05,R_22oc12RMwio6ZzV,,,,,,,anonymous,NL,beleidsadviseur,5,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-07 09:56:21,2023-06-07 10:27:00,0,194.151.97.50,100,1839,1,2023-06-07 10:27:01,R_1jPUDOTrup99HYh,,,,,52.4052,6.0654,anonymous,NL,regioadviseur,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,4,5,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-07 10:36:15,2023-06-07 10:50:07,0,194.151.97.50,100,831,1,2023-06-07 10:50:08,R_3JElM4G0wvroeVB,,,,,52.4052,6.0654,anonymous,NL,beleidsmedewerker watersystemen / hydroloog,5,4,4,4,4,,,,,,,,,,,3,2,1,1,7,1,7,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-07 11:29:44,2023-06-07 12:14:19,0,194.151.97.50,100,2675,1,2023-06-07 12:14:21,R_qLBstT1VbJ65GsV,,,,,52.4052,6.0654,anonymous,NL,adviseur watersystemen,4,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,3,3,6,3,6,3,3,,,,,,,,,,,,,,,,,,,,
2023-05-30 13:28:37,2023-06-06 12:26:40,0,194.151.97.50,1,601082,0,2023-06-13 12:26:43,R_6lrwoF8TmzVNPoZ,,,,,,,anonymous,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 15:30:09,2023-06-06 15:42:18,0,194.151.97.50,92,728,0,2023-06-13 15:42:19,R_211aoD84S0tiind,,,,,,,anonymous,NL,Ruimtelijke Adaptatie/Omgeving/Advisewring,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09 09:46:40,2023-06-09 09:50:51,0,194.151.97.50,1,250,0,2023-06-16 09:50:53,R_eQGsdMYPnQ0ZOZr,,,,,,,anonymous,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-31 11:54:26,2023-07-31 12:13:10,0,194.151.97.50,100,1123,1,2023-07-31 12:13:11,R_bjU1hQw2u8zxXVv,,,,,52.9597,4.7517,anonymous,NL,"Achtergrond - ecohydrologie, werkveld - veenweideproblematiek",5,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,4,5,5,3,6,3,5,7,,,,,,,,,,
